text,industry,label
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
Universal connector platform targeting everyone. The platform is digital and online.,Other,Low
Another food delivery platform targeting everyone. The platform is digital and online.,Other,Low
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
Real-time diagnostic API targeting software/saas SMEs. Uses monthly subscription model.,Software/SaaS,High
Real-time diagnostic API targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
Subscription-based predictive model targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
Another food delivery platform targeting everyone. The platform is digital and online.,Home Services,Low
On-demand education marketplace for local consumers. Uses standard commission fee.,Education,Medium
Website that shows random quotes targeting everyone. The platform is digital and online.,Home Services,Low
B2B SaaS for automation targeting software/saas SMEs. Uses monthly subscription model.,Software/SaaS,High
Another food delivery platform targeting everyone. The platform is digital and online.,Travel,Low
Website that shows random quotes targeting everyone. The platform is digital and online.,Other,Low
Decentralized identity system targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
Real-time diagnostic API targeting healthcare SMEs. Uses monthly subscription model.,Healthcare,High
B2B SaaS for automation targeting healthcare SMEs. Uses monthly subscription model.,Healthcare,High
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
Subscription-based predictive model targeting healthcare SMEs. Uses monthly subscription model.,Healthcare,High
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
Decentralized identity system targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
Personalized cohort learning targeting software/saas SMEs. Uses monthly subscription model.,Software/SaaS,High
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
Generic social media app targeting everyone. The platform is digital and online.,Other,Low
AI-powered analysis platform targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
On-demand education marketplace for local consumers. Uses standard commission fee.,Education,Medium
AI-powered analysis platform targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
On-demand education marketplace for local consumers. Uses standard commission fee.,Education,Medium
Subscription-based predictive model targeting software/saas SMEs. Uses monthly subscription model.,Software/SaaS,High
AI-powered analysis platform targeting fintech SMEs. Uses monthly subscription model.,Fintech,High
Universal connector platform targeting everyone. The platform is digital and online.,Other,Low
Universal connector platform targeting everyone. The platform is digital and online.,Other,Low
Vague consulting service targeting everyone. The platform is digital and online.,Home Services,Low
On-demand e-commerce marketplace for local consumers. Uses standard commission fee.,E-commerce,Medium
Real-time diagnostic API targeting software/saas SMEs. Uses monthly subscription model.,Software/SaaS,High
On-demand education marketplace for local consumers. Uses standard commission fee.,Education,Medium
On-demand food & beverage marketplace for local consumers. Uses standard commission fee.,Food & Beverage,Medium
