Startup_Name,Industry,Initial_Funding_USD,Founder_Experience_Years,Team_Size,Target_Market_Size,Revenue_Model,Marketing_Spend_USD,Innovation_Index,Investor_Interest_Score,Success
Oneill-Frazier,FinTech,53102.122158723985,1,35,5,Subscription,173457,0.99,0.77,1
Anderson-Kelly,Travel,4699248.595562839,9,6,2,Subscription,89712,0.82,0.2,1
Jimenez-Hoffman,Travel,54105.546850716826,0,31,2,Freemium,158492,0.73,0.49,0
"Hunter, Anderson and Miller",HealthTech,5498502.515982405,12,13,1,Freemium,96207,0.93,0.72,1
Griffin-Williams,EdTech,470469.0986208927,12,48,5,Advertising,182573,0.5,0.27,0
"Black, Hanson and Smith",RealEstate,521607.67566894717,15,34,3,Advertising,188999,0.42,0.89,1
"Garcia, Bennett and Adams",FinTech,1869221.3975693954,3,28,2,Advertising,49543,0.54,0.17,0
Calderon-Weaver,FoodTech,1863928.210940215,0,23,1,Freemium,86243,0.95,0.35,0
Richardson-Huerta,FoodTech,262931.7466039213,9,47,3,Freemium,169462,0.64,0.18,0
Harris LLC,AI/ML,114083.62565154493,6,30,3,Advertising,97367,0.19,0.44,0
"Smith, Burnett and Floyd",RealEstate,458610.3302606755,15,21,1,Commission,36119,0.4,0.4,0
Edwards-Medina,FoodTech,1122816.846260593,13,30,2,Freemium,111142,0.83,0.68,1
"Tapia, Andrews and Nunez",Travel,2117767.236406169,15,30,1,One-time Purchase,55605,0.18,0.49,0
"Short, Roberts and Smith",Travel,456063.53891703323,3,6,3,One-time Purchase,17142,0.85,0.14,0
Logan-Owens,RealEstate,843893.8321597017,4,43,5,Subscription,156116,0.11,0.58,0
"Hernandez, Hughes and Burgess",HealthTech,560700.0452538002,13,23,4,Freemium,97734,0.69,0.66,1
Hernandez LLC,FinTech,203468.58466932617,3,24,4,Advertising,183374,0.83,0.55,0
Nielsen Group,Gaming,4236904.768620648,12,5,2,Freemium,12835,0.65,0.44,1
Hansen Ltd,FoodTech,56267.88729575101,14,23,2,Subscription,29795,0.7,0.49,1
"Miller, Ortiz and Martin",E-commerce,458242.3205115685,2,9,4,Freemium,189011,0.54,0.58,0
Day-Owen,FoodTech,5722956.126023613,6,5,1,Freemium,15177,0.96,0.71,1
Lopez Ltd,HealthTech,43534.19052984527,12,25,3,Freemium,10617,0.55,0.69,1
Lawson-Espinoza,EdTech,211064.20768224745,9,35,3,Subscription,23429,0.68,0.14,0
Farmer-Hall,RealEstate,508686.9958338984,3,40,5,Subscription,156587,0.92,0.99,1
Gomez-Fox,RealEstate,4277090.1267358875,7,48,5,Freemium,16051,0.81,0.82,1
"Johnson, Wilson and Moore",FoodTech,5653384.380793782,0,5,1,Advertising,70654,0.96,0.16,1
"Scott, Tyler and Crawford",FinTech,273852.8981628821,1,35,2,Freemium,152746,0.44,0.27,0
"Miller, Tucker and Price",RealEstate,536635.7717192671,14,33,4,Advertising,53138,0.12,0.86,0
"Fitzgerald, Estrada and Rosario",E-commerce,1154658.9008040132,12,26,4,Commission,19480,0.97,0.56,1
"Meyer, Graham and Griffin",EdTech,961176.6403249804,2,42,3,One-time Purchase,63567,0.19,0.3,0
Pope LLC,FinTech,520517.07506831246,2,15,3,Freemium,6159,0.91,0.95,1
Harrison-Davis,EdTech,85491.61281847149,15,23,4,Subscription,102631,0.89,0.95,1
Booker-Luna,E-commerce,2293319.9591828836,7,36,4,Subscription,182420,0.73,0.17,1
Mills-Grant,FinTech,295872.70983271574,5,46,1,Subscription,140522,0.16,0.59,0
Smith-Jimenez,HealthTech,49790.223974425586,2,31,2,Subscription,88781,0.83,0.62,0
"Atkinson, Castro and Bartlett",HealthTech,232615.63744957547,12,26,5,One-time Purchase,109514,0.94,0.82,1
"Hamilton, Goodman and Cantu",FoodTech,59423.5383868306,6,48,5,One-time Purchase,89006,0.64,0.44,0
"Weber, Gilmore and Perez",RealEstate,456794.2636103141,5,42,2,Advertising,99803,0.59,0.19,0
"Schmidt, Moore and Michael",HealthTech,50343.91188791017,4,41,4,Advertising,29558,0.88,0.71,1
"Black, Cook and Gonzalez",RealEstate,5255653.415650531,4,27,1,Commission,77906,0.93,0.96,1
"Farley, Phillips and Hughes",E-commerce,4102233.6675120085,9,2,2,Advertising,143901,0.15,0.89,1
King-Marks,EdTech,1619343.7210887782,3,14,1,Freemium,72080,0.59,0.46,0
Wiggins LLC,E-commerce,2069030.6381631957,14,16,2,Advertising,48315,0.92,0.59,1
"Baker, Cox and Williams",Gaming,47128.01847579966,3,9,5,One-time Purchase,144368,0.53,0.83,0
Bush PLC,Gaming,2006703.1846041589,7,45,3,Freemium,6145,0.36,0.32,0
Williams Inc,RealEstate,556465.8950249342,14,24,3,Freemium,74720,0.67,0.64,1
Castro-Thomas,FinTech,46923.66346455323,9,30,2,Subscription,28656,0.32,0.29,0
Rosales Inc,FinTech,1715974.4147334497,3,4,2,Freemium,77276,0.85,0.25,0
"Cohen, Lin and Schultz",Travel,102517.80152234851,6,45,1,Subscription,137728,0.13,0.16,0
"Holmes, Reed and Perez",FinTech,2187902.524184693,14,30,4,Subscription,136195,0.21,0.54,1
Simmons-Jones,Gaming,575218.0040942155,9,20,5,One-time Purchase,160985,0.34,0.96,1
Davis Group,FinTech,936600.8454132987,14,38,4,One-time Purchase,141492,0.53,0.89,1
Brown-Jackson,E-commerce,223184.5820253201,12,4,3,Commission,17566,0.79,0.65,1
Mitchell LLC,E-commerce,804872.6053212797,3,9,3,Freemium,61141,0.41,0.24,0
"Durham, Liu and Robinson",AI/ML,84231.1893088105,8,12,3,Subscription,127999,0.45,0.15,0
Scott-Beasley,FinTech,445357.27121644927,6,30,1,Subscription,79551,0.25,0.67,0
"Matthews, Thompson and Adams",HealthTech,215477.41591550084,14,25,4,Subscription,6194,0.39,0.15,0
Nelson Ltd,Gaming,1018629.4940775096,7,29,3,Subscription,196269,0.5,0.59,0
Bartlett-Lyons,FinTech,57300.6634162664,7,5,4,Advertising,57056,0.82,0.94,1
Walker PLC,EdTech,805176.7279417652,7,30,5,Advertising,133438,0.44,0.68,0
French-Thomas,E-commerce,4259671.546268646,14,33,3,Advertising,9303,0.86,0.65,1
Lawson Ltd,Gaming,4502076.865799997,15,27,3,One-time Purchase,55894,0.86,0.16,1
Bautista Ltd,FinTech,893707.0920157536,4,24,3,One-time Purchase,59647,0.23,0.82,0
Monroe-Adkins,AI/ML,940580.778428371,13,27,5,One-time Purchase,138832,0.73,0.23,1
Harris Inc,FoodTech,45668.01095007345,9,10,5,Advertising,106448,0.36,0.32,0
"Ewing, Howe and Contreras",FoodTech,44011.11803810514,8,26,2,Commission,62294,0.87,0.44,0
Jones-Mayer,RealEstate,45139.16243802689,4,49,1,Subscription,56181,0.29,0.27,0
Daniels-Powers,EdTech,1738485.2962460206,7,4,2,Freemium,90882,0.71,0.27,0
Noble PLC,Gaming,902960.0652420553,3,7,3,Commission,154502,0.9,0.9,1
Mccall LLC,EdTech,1009788.5343796824,14,4,4,Subscription,104508,0.4,0.8,1
Powers-Taylor,Gaming,1877707.0871451253,6,7,5,Subscription,171907,0.6,0.92,1
Marks and Sons,Travel,2284021.5269699516,4,32,4,Advertising,124530,0.79,0.49,1
Daniels-Chapman,EdTech,594465.3835623182,1,32,5,One-time Purchase,52086,0.16,0.82,0
"Salas, Torres and White",Gaming,55054.66811430341,9,13,2,Subscription,193924,0.15,0.28,0
Anderson and Sons,Travel,2358528.1219676496,15,23,2,One-time Purchase,165259,0.3,0.74,1
Nielsen-Walls,Travel,118429.53089048769,8,47,5,Subscription,145835,0.59,0.69,1
Chapman-Madden,EdTech,5757782.783467798,15,10,5,One-time Purchase,162608,0.79,0.12,1
Lowe-Trujillo,Gaming,50613.06155964629,5,29,1,Advertising,194792,0.19,0.93,0
Hernandez Inc,RealEstate,1792816.026535764,3,19,3,Advertising,79607,0.37,0.93,0
Johnson-Barrett,Travel,473194.62477882986,12,41,3,Advertising,169660,0.38,0.84,1
Holloway and Sons,Travel,119617.29936191194,11,42,4,Freemium,187108,0.56,0.97,1
Lopez-Hawkins,EdTech,5195044.581033253,1,5,3,Advertising,29991,0.91,0.29,1
Proctor-Cox,EdTech,1787317.2066786073,0,2,4,Advertising,194938,0.88,0.72,1
"Wang, Pearson and Miller",Gaming,1933402.8067056006,11,20,4,One-time Purchase,106392,0.8,0.31,1
Johnson-Weaver,Gaming,221799.65788637393,13,9,2,Advertising,180358,0.97,0.39,1
"Blackwell, Carroll and Nash",Travel,2019427.057769291,1,32,2,Subscription,119990,0.23,0.84,0
Rogers PLC,Gaming,109563.16957657186,9,19,5,Advertising,115165,0.27,0.3,0
Olson-Dodson,FoodTech,1182673.3402502078,1,26,5,Commission,119090,0.41,0.19,0
"Johnson, Sellers and Schroeder",FinTech,5761267.9232416265,5,8,2,One-time Purchase,175507,0.99,0.49,1
Brooks Group,HealthTech,200013.47129376134,1,22,1,Subscription,107424,0.29,0.31,0
Braun-Ortega,EdTech,1018594.994195171,4,18,4,Advertising,9739,0.64,0.68,1
Lopez-Scott,Travel,917437.78500278,7,17,3,Advertising,107770,0.5,0.64,0
Sanchez LLC,HealthTech,503371.686464688,4,13,4,Advertising,49217,0.55,0.68,0
"Arnold, Vargas and Schneider",Travel,1063553.7342562294,11,11,1,One-time Purchase,187638,0.36,0.87,0
Anderson Ltd,HealthTech,91909.5049925979,2,24,1,Subscription,167909,0.44,0.86,0
"Pineda, Casey and Davis",HealthTech,243026.64265389924,13,50,4,Freemium,78279,0.2,0.3,0
"Kidd, Maynard and Kim",AI/ML,438370.30423197296,8,16,2,One-time Purchase,129179,0.68,0.32,0
"Li, Lopez and Smith",RealEstate,57136.15376155563,3,50,2,Freemium,172652,0.86,0.56,0
Shaw Ltd,Gaming,100474.08452274669,15,2,4,One-time Purchase,132089,0.37,0.94,1
"Olson, Leach and Ramirez",Travel,225960.91835185362,10,23,1,Advertising,13028,0.65,0.52,0
"Rose, Daniels and Gutierrez",HealthTech,51083.48115380221,5,36,5,Freemium,127838,0.4,0.73,0
Lowe-Moore,AI/ML,290249.66847038764,15,21,2,Freemium,155407,0.78,0.29,1
Martin Inc,EdTech,827893.7345173431,15,12,3,Advertising,117339,0.25,0.63,0
Hall-Chambers,Travel,2264797.120038015,0,37,1,Commission,161031,0.87,0.59,0
"Brooks, Bryant and Harding",Gaming,89619.54612821667,14,42,1,Commission,53832,0.92,0.78,1
Malone-Gordon,RealEstate,52324.460651690475,15,16,2,Subscription,101054,0.71,0.42,1
Kelley-Morris,HealthTech,1631001.572772055,0,30,2,Advertising,70883,0.45,0.46,0
"Mendoza, Weaver and Sandoval",E-commerce,100041.56735135273,4,45,2,One-time Purchase,7901,0.68,0.92,0
Torres-Cortez,FoodTech,104279.37582016955,7,20,2,Advertising,33255,0.83,0.68,1
"Miller, Lindsey and Morales",FoodTech,526371.150362654,11,50,1,Advertising,172962,0.79,0.72,1
Hebert-Parker,Gaming,2157659.9826503396,10,16,4,One-time Purchase,164495,0.96,0.96,1
Ho-Jefferson,FoodTech,299345.57020624244,10,50,5,Commission,122485,0.51,0.27,0
"Jimenez, Barber and Sullivan",HealthTech,114989.75829018152,4,31,5,One-time Purchase,12557,0.71,0.11,0
"Gonzalez, Macias and Ruiz",HealthTech,4055041.426600786,0,37,4,Advertising,49639,0.54,0.88,1
"Patterson, Baxter and Pearson",Travel,1165748.2927718312,4,19,3,Freemium,107400,0.28,0.87,0
Small LLC,FoodTech,1922542.2773629331,14,44,5,Advertising,58828,0.48,0.41,1
Watkins-Smith,AI/ML,452875.0985824857,11,22,1,One-time Purchase,106764,0.5,0.86,1
Scott PLC,RealEstate,2217207.701763328,0,11,4,One-time Purchase,102375,0.88,0.54,1
Snow-Pierce,Travel,82508.18600057974,2,19,4,One-time Purchase,193265,0.24,0.84,0
Orr-Williamson,FinTech,5941233.8334206445,9,5,5,Freemium,129291,0.75,0.99,1
"Schwartz, Villarreal and Little",FinTech,1187280.630533772,5,34,2,Freemium,168130,0.25,0.75,0
Todd-Moran,HealthTech,597184.4642713356,15,33,1,Advertising,22430,0.64,0.72,1
"Johnson, Gould and Palmer",AI/ML,5169599.665453027,10,18,3,Freemium,156817,0.98,0.41,1
Thomas-Herring,AI/ML,98339.17443086149,1,16,2,Commission,181454,1.0,0.33,0
"Johnson, Norton and Stewart",FoodTech,279597.9202840972,13,8,2,Commission,115266,0.6,0.39,0
"Meyer, Miller and Obrien",Gaming,547907.6207367934,5,28,5,Commission,109625,0.66,0.68,1
Myers-Thompson,E-commerce,201359.62399333512,6,45,2,Freemium,63082,0.96,0.52,1
"Taylor, Sheppard and Miller",RealEstate,89274.33664881,15,32,3,Advertising,119874,0.94,0.74,1
"Rodgers, Brooks and Bennett",E-commerce,44106.221115606815,4,43,4,Commission,8033,0.33,0.59,0
Craig-Burgess,AI/ML,276523.22604327154,5,35,1,Subscription,109438,0.43,0.23,0
